,Galaxy,scale,Sigma,Vdisp,alphavir
106240,NGC0628,90.0,7.349,1.987,2.755
63282,NGC4038/9,80.0,351.9486389160156,32.59130545099138,17.542326091259838
112572,NGC1637,90.0,7.393,2.898,5.827
165091,NGC5068,90.0,16.82,3.542,3.825
111783,NGC1637,90.0,6.804,3.159,7.522
103464,NGC0628,90.0,6.823,4.079,12.5
115243,NGC2283,90.0,20.23,4.54,5.225
153032,NGC3627,90.0,78.22,12.17,9.704
113699,NGC1637,90.0,5.97,1.908,3.127
46843,NGC4038/9,80.0,65.64798736572266,4.905829117879751,2.130916322363144
151337,NGC3627,90.0,24.4,7.531,11.92
138651,NGC3521,90.0,127.0,8.034,2.606
164303,NGC4951,90.0,80.06,8.293,4.406
104474,NGC0628,90.0,8.866,2.617,3.963
180201,NGC6744,90.0,49.87,4.981,2.552
104710,NGC0628,90.0,37.88,5.351,3.877
113070,NGC1637,90.0,58.41,4.432,1.725
56264,NGC4038/9,80.0,767.0580444335938,45.04538678180403,15.375717053246438
116319,NGC2903,90.0,25.28,5.531,6.205
128665,NGC2997,90.0,13.82,3.108,3.585
133762,NGC3351,90.0,35.97,6.378,5.801
182215,NGC6744,90.0,32.57,3.746,2.209
160080,NGC4689,90.0,16.31,2.59,2.109
149636,NGC3627,90.0,32.65,5.633,4.983
40354,NGC3256,80.0,403.09525435881426,36.12431016688364,18.679586272030715
109858,NGC1433,90.0,55.51,4.41,1.797
172030,NGC5643,90.0,11.65,3.088,4.199
158778,NGC4689,90.0,55.14,4.741,2.091
105946,NGC0628,90.0,4.629,2.503,6.943
170185,NGC5643,90.0,5.902,2.39,4.964
157820,NGC4571,90.0,14.25,2.138,1.645
139315,NGC3521,90.0,26.93,5.774,6.35
35989,NGC3256,80.0,697.7860844195446,43.53408064968773,15.671561229591768
125506,NGC2997,90.0,11.36,3.244,4.754
180778,NGC6744,90.0,27.32,3.275,2.013
40897,NGC3256,80.0,1199.3749659861624,62.898947393733685,19.033014947517515
159993,NGC4689,90.0,57.57,5.739,2.934
60869,NGC4038/9,80.0,107.24591064453125,4.971422547105742,1.339502609038639
47039,NGC4038/9,80.0,471.42486572265625,47.84856232655423,28.228529621342023
68179,NGC4038/9,80.0,70.78544616699219,8.682858638514668,6.190766814854706
115379,NGC2283,90.0,10.38,2.562,3.241
119587,NGC2903,90.0,62.77,6.156,3.096
42846,NGC3256,80.0,192.28755179299947,11.665892084241005,4.083763211070556
108312,NGC0628,90.0,28.44,2.952,1.571
170641,NGC5643,90.0,32.53,4.736,3.537
151949,NGC3627,90.0,46.14,4.502,2.253
129974,NGC2997,90.0,194.4,7.197,1.367
162544,NGC4781,90.0,10.76,3.292,5.167
61717,NGC4038/9,80.0,213.47525024414062,12.73166091224839,4.413524563641934
146820,NGC3621,90.0,14.52,6.056,12.96
138246,NGC3521,90.0,123.5,9.577,3.81
58434,NGC4038/9,80.0,154.77574157714844,19.537512179291866,14.335030577408375
115684,NGC2903,90.0,978.4,25.38,3.377
62408,NGC4038/9,80.0,346.2105712890625,26.107912774273505,11.443711801855866
120272,NGC2903,90.0,6.177,2.223,4.101
117026,NGC2903,90.0,49.67,9.321,8.972
172574,NGC5643,90.0,27.87,3.207,1.892
37205,NGC3256,80.0,1988.5603087622471,82.98289790214754,19.98086292941552
32514,NGC3256,80.0,428.4727607110686,43.45313981458234,25.426988188588734
67068,NGC4038/9,80.0,261.43402099609375,27.309927411800018,16.582191184423884
46618,NGC4038/9,80.0,93.76824951171875,10.001461978389585,6.200605537360825
38369,NGC3256,80.0,581.9894912138748,31.01397327203201,9.53620298773252
135775,NGC3511,90.0,17.79,3.193,2.941
111260,NGC1637,90.0,53.29,4.713,2.138
120787,NGC2903,90.0,17.62,3.936,4.507
60238,NGC4038/9,80.0,385.7875671386719,9.70345065370404,1.4186234387640275
52471,NGC4038/9,80.0,885.8095092773438,16.14212005911721,1.7097938358766274
37011,NGC3256,80.0,403.06760593820843,38.9242517619016,21.68894678274417
152022,NGC3627,90.0,7.584,2.47,4.125
119218,NGC2903,90.0,18.19,4.254,5.103
150273,NGC3627,90.0,19.77,2.598,1.751
31364,NGC3256,80.0,34.26895182502945,10.872676987431413,19.904348361747502
161117,NGC4731,90.0,4.8,2.623,7.352
51029,NGC4038/9,80.0,647.2047119140625,70.25501779211406,44.32777914715253
165554,NGC5248,90.0,78.82,8.29,4.471
69739,NGC4038/9,80.0,899.3038940429688,38.109012452891115,9.386676452898719
141925,NGC3521,90.0,99.46,7.885,3.206
61334,NGC4038/9,80.0,125.54552459716797,5.475747425522606,1.3881887826288577
152813,NGC3627,90.0,19.13,4.51,5.454
139697,NGC3521,90.0,54.98,6.35,3.762
64912,NGC4038/9,80.0,34.46617126464844,2.876038099483718,1.3949516310080623
34588,NGC3256,80.0,419.6771163954242,30.942238486886563,13.163275841034547
131915,NGC2997,90.0,8.215,2.72,4.618
180444,NGC6744,90.0,30.44,3.702,2.309
32165,NGC3256,80.0,184.17945911112656,33.80230954164496,35.79541227850472
157112,NGC4457,90.0,12.46,2.831,3.299
165732,NGC5248,90.0,52.81,7.659,5.698
124764,NGC2997,90.0,52.89,4.015,1.563
135101,NGC3511,90.0,41.15,7.604,7.206
111331,NGC1637,90.0,7.748,1.783,2.105
43469,NGC3256,80.0,532.7362146293364,17.865851931824334,3.4570929250101305
39724,NGC3256,80.0,57.58803077628089,9.54426212463914,9.127005279602873
117954,NGC2903,90.0,12.51,5.343,11.7
148932,NGC3627,90.0,51.95,6.968,4.793
109029,NGC0628,90.0,12.32,3.871,6.24
174684,NGC6300,90.0,20.62,7.454,13.82
34367,NGC3256,80.0,425.16955237672875,42.81545822732404,24.877964858082105
138115,NGC3521,90.0,125.3,5.925,1.438
167268,NGC5248,90.0,22.09,2.798,1.818
182169,NGC6744,90.0,11.0,2.69,3.374
156276,NGC4457,90.0,89.96,16.66,15.82
168608,NGC5530,90.0,19.07,2.611,1.833
141604,NGC3521,90.0,7.803,2.909,5.564
46499,NGC4038/9,80.0,200.26783752441406,16.302831414619266,7.71396792967197
175263,NGC6300,90.0,74.58,5.088,1.781
51069,NGC4038/9,80.0,149.4518280029297,12.942827336061622,6.515084206732002
68032,NGC4038/9,80.0,267.3946533203125,23.281787451864908,11.782646979561347
155924,NGC4424,90.0,124.2,13.14,7.13
48556,NGC4038/9,80.0,142.27818298339844,9.64405195643832,3.799651195140607
119117,NGC2903,90.0,54.2,5.624,2.993
143361,NGC3521,90.0,6.271,2.306,4.351
40324,NGC3256,80.0,240.6573330276359,42.75553744511135,43.828989063881906
166683,NGC5248,90.0,22.52,4.882,5.427
45104,NGC3256,80.0,39.313277109757244,7.7797016479365535,8.88305701741302
174364,NGC6300,90.0,235.5,24.14,12.69
157416,NGC4457,90.0,148.6,6.444,1.433
57339,NGC4038/9,80.0,145.62451171875,6.121196960647115,1.4955508628504506
63005,NGC4038/9,80.0,571.6450805664062,35.44499097647061,12.774567749751688
104803,NGC0628,90.0,51.97,6.367,4.001
138261,NGC3521,90.0,25.85,7.035,9.82
155180,NGC3627,90.0,94.79,3.815,0.7875
112143,NGC1637,90.0,7.688,2.52,4.238
